id,name,description_orig,description
771,喜相逢米粉湯,喜相逢米粉湯，251 臺灣 淡水新北 長興街2號 淡水區，評分 4.0 ，菜系 亞洲料理，,喜相逢 米粉 湯 ， 251   臺 灣   淡水 新北   長 興街 2 號   淡水 區 ， 評分   4.0   ， 菜系   亞洲 料理 ，
772,夯吐司,夯吐司，111 臺灣 士林臺北 士林區社中街348號，評分 5.0 ，，,夯 吐司 ， 111   臺 灣   士林 臺 北   士林 區社 中街 348 號 ， 評分   5.0   ， ，
773,Da Ji Xiang Xiang Dou Fu,"Da Ji Xiang Xiang Dou Fu，臺灣 淡水新北 No. 28, Aly. 3, Ln. 182, Beixin Rd., Tamsui Dist，評分 4.5 ，菜系 亞洲料理, 台灣小吃/台菜 特色 外帶，","Da   Ji   Xiang   Xiang   Dou   Fu ， 臺 灣   淡水 新北   No .   28 ,   Aly .   3 ,   Ln .   182 ,   Beixin   Rd . ,   Tamsui   Dist ， 評分   4.5   ， 菜系   亞洲 料理 ,   台灣 小吃 / 台菜   特色   外帶 ，"
774,Taurus Steak House,"Taurus Steak House，臺灣 北投臺北 No. 532, Sec. 4, Zhongyang N. Rd., Beitou Dist，評分 5.0 ，菜系 美式料理, 牛排，","Taurus   Steak   House ， 臺 灣   北投 臺 北   No .   532 ,   Sec .   4 ,   Zhongyang   N .   Rd . ,   Beitou   Dist ， 評分   5.0   ， 菜系   美式 料理 ,   牛排 ，"
775,一鷺炭火燒鳥工房(大直店),"一鷺炭火燒鳥工房(大直店)，104 臺灣 中山區臺北 中山區植福路217號1樓，評分 4.5 ，價位 NT$500 - NT$1,200 菜系 日式料理, 亞洲料理 特別飲食限制 提供純素選擇, 提供素食選擇，","一鷺 炭火 燒鳥 工房 ( 大直店 ) ， 104   臺 灣   中山 區 臺 北   中山 區植福路 217 號 1 樓 ， 評分   4.5   ， 價位   NT $ 500   -   NT $ 1 , 200   菜系   日式 料理 ,   亞洲 料理   特別 飲食 限制   提供 純素 選擇 ,   提供 素食 選擇 ，"
776,Fang Fang Jiangsu Dumplings,"Fang Fang Jiangsu Dumplings，臺灣 北投臺北 No. 18, Xinshi St., Beitou Dist，評分 4.5 ，菜系 亞洲料理, 台灣小吃/台菜，","Fang   Fang   Jiangsu   Dumplings ， 臺 灣   北投 臺 北   No .   18 ,   Xinshi   St . ,   Beitou   Dist ， 評分   4.5   ， 菜系   亞洲 料理 ,   台灣 小吃 / 台菜 ，"
777,星月,"星月，251 臺灣 淡水新北 No. 139, Yingzhuan Road，評分 5.0 ，菜系 日式料理，","星月 ， 251   臺 灣   淡水 新北   No .   139 ,   Yingzhuan   Road ， 評分   5.0   ， 菜系   日式 料理 ，"
778,小川鍋物,"小川鍋物，251 臺灣 淡水新北 新市一路3段101巷108號，評分 4.5 ，價位 NT$258 - NT$800 菜系 日式料理, 異國風味, 亞洲料理, 台灣小吃/台菜, 湯品，","小川 鍋物 ， 251   臺 灣   淡水 新北   新 市 一路 3 段 101 巷 108 號 ， 評分   4.5   ， 價位   NT $ 258   -   NT $ 800   菜系   日式 料理 ,   異國 風味 ,   亞洲 料理 ,   台灣 小吃 / 台菜 ,   湯品 ，"
779,顛 居酒屋,顛 居酒屋，臺灣 北投臺北 臺北市北投區石牌路二段68巷26號，評分 4.5 ，價位 NT$415 - NT$830 餐點 晚餐，,顛   居酒 屋 ， 臺 灣   北投 臺 北   臺 北 市北 投區 石牌路 二段 68 巷 26 號 ， 評分   4.5   ， 價位   NT $ 415   -   NT $ 830   餐點   晚餐 ，
780,嗆頂級麻辣鴛鴦鍋 內湖店,嗆頂級麻辣鴛鴦鍋 內湖店，114 臺灣 內湖臺北 內湖路一段248號1樓，評分 3.5 ，菜系 中式料理 餐點 晚餐 特色 預訂，,嗆 頂級 麻辣 鴛鴦鍋   內 湖店 ， 114   臺 灣   內湖 臺 北   內 湖路 一段 248 號 1 樓 ， 評分   3.5   ， 菜系   中式 料理   餐點   晚餐   特色   預訂 ，
781,Den Moose,Den Moose，臺灣 北投臺北 Ba De and Lung Chiang Road intersection，評分 4.0 ，，,Den   Moose ， 臺 灣   北投 臺 北   Ba   De   and   Lung   Chiang   Road   intersection ， 評分   4.0   ， ，
782,Julienkitchen,"Julienkitchen，111 臺灣 士林臺北 3 Guotai Street，評分 4.0 ，菜系 法式料理, 歐式料理 餐點 午餐, 晚餐，","Julienkitchen ， 111   臺 灣   士林 臺 北   3   Guotai   Street ， 評分   4.0   ， 菜系   法式 料理 ,   歐式 料理   餐點   午餐 ,   晚餐 ，"
783,Masala Art,"Masala Art，111 臺灣 士林臺北 Zhongshan N, Rd , Sec 6, Lane 439 No 2，評分 5.0 ，菜系 印度料理，","Masala   Art ， 111   臺 灣   士林 臺 北   Zhongshan   N ,   Rd   ,   Sec   6 ,   Lane   439   No   2 ， 評分   5.0   ， 菜系   印度 料理 ，"
784,Think Cafe No5,Think Cafe No5，251 臺灣 淡水新北 淡水區英專路65巷12號，評分 3.5 ，菜系 咖啡廳，,Think   Cafe   No5 ， 251   臺 灣   淡水 新北   淡水 區英 專路 65 巷 12 號 ， 評分   3.5   ， 菜系   咖啡 廳 ，
785,Two House Tuzi Restaurant Tuzi 2,"Two House Tuzi Restaurant Tuzi 2，臺灣 士林臺北 No.342, Sec. 3, Zhishan Rd., Shilin Dist.,，評分 4.0 ，菜系 歐式料理 餐點 午餐, 晚餐，","Two   House   Tuzi   Restaurant   Tuzi   2 ， 臺 灣   士林 臺 北   No.342 ,   Sec .   3 ,   Zhishan   Rd . ,   Shilin   Dist . , ， 評分   4.0   ， 菜系   歐式 料理   餐點   午餐 ,   晚餐 ，"
786,臺發切仔面,"臺發切仔面，10491 臺灣 中山區臺北 中山區北安路458巷41弄22號，評分 5.0 ，菜系 中式料理, 亞洲料理, 台灣小吃/台菜, 中亞菜系，","臺 發切 仔面 ， 10491   臺 灣   中山 區 臺 北   中山 區 北安路 458 巷 41 弄 22 號 ， 評分   5.0   ， 菜系   中式 料理 ,   亞洲 料理 ,   台灣 小吃 / 台菜 ,   中亞 菜系 ，"
787,Peng Lai Restaurant,"Peng Lai Restaurant，臺灣 北投臺北 No. 238, Zhonghe St., Beitou Dist，評分 4.5 ，菜系 亞洲料理, 台灣小吃/台菜，","Peng   Lai   Restaurant ， 臺 灣   北投 臺 北   No .   238 ,   Zhonghe   St . ,   Beitou   Dist ， 評分   4.5   ， 菜系   亞洲 料理 ,   台灣 小吃 / 台菜 ，"
788,魚紳海鮮美食餐廳,"魚紳海鮮美食餐廳，104 臺灣 中山區臺北 長安東路一段77號，評分 4.5 ，菜系 日式料理, 海鮮, 異國風味, 燒烤, 亞洲料理, 湯品 特別飲食限制 提供素食選擇 餐點 午餐, 晚餐，","魚紳 海鮮 美食 餐廳 ， 104   臺 灣   中山 區 臺 北   長 安東路 一段 77 號 ， 評分   4.5   ， 菜系   日式 料理 ,   海鮮 ,   異國 風味 ,   燒烤 ,   亞洲 料理 ,   湯品   特別 飲食 限制   提供 素食 選擇   餐點   午餐 ,   晚餐 ，"
789,KIRIN PASTA 麵食主義,KIRIN PASTA 麵食主義，臺灣 士林臺北 士林區美德街68號，評分 4.0 ，菜系 義式料理，,KIRIN   PASTA   麵 食主義 ， 臺 灣   士林 臺 北   士林 區 美德 街 68 號 ， 評分   4.0   ， 菜系   義式 料理 ，
790,印度皇宮(美麗華大直店),"印度皇宮(美麗華大直店)，臺灣 中山區臺北 No. 20, Jingye 3rd Rd., Zhongshan Dist B1，評分 4.0 ，菜系 印度料理，","印度 皇宮 ( 美麗華大 直店 ) ， 臺 灣   中山 區 臺 北   No .   20 ,   Jingye   3rd   Rd . ,   Zhongshan   Dist   B1 ， 評分   4.0   ， 菜系   印度 料理 ，"
791,Da Long Tong Fish Balls,"Da Long Tong Fish Balls，臺灣 大同臺北 No. 294, Sec. 3, Chongqing N. Rd., Datong Dist，評分 4.5 ，菜系 海鮮, 亞洲料理, 台灣小吃/台菜，","Da   Long   Tong   Fish   Balls ， 臺 灣   大同 臺 北   No .   294 ,   Sec .   3 ,   Chongqing   N .   Rd . ,   Datong   Dist ， 評分   4.5   ， 菜系   海鮮 ,   亞洲 料理 ,   台灣 小吃 / 台菜 ，"
792,芎經園咖啡,芎經園咖啡，251 臺灣 淡水新北 淡水區中正東路 二段5巷25號，評分 4.5 ，菜系 中式料理，,芎 經園 咖啡 ， 251   臺 灣   淡水 新北   淡水 區 中正 東路   二段 5 巷 25 號 ， 評分   4.5   ， 菜系   中式 料理 ，
793,快樂豆花,"快樂豆花，112 臺灣 北投臺北 致遠二路110號1樓，評分 5.0 ，菜系 亞洲料理, 台灣小吃/台菜，","快樂 豆花 ， 112   臺 灣   北投 臺 北   致遠 二路 110 號 1 樓 ， 評分   5.0   ， 菜系   亞洲 料理 ,   台灣 小吃 / 台菜 ，"
794,Fu Yean Seafood,"Fu Yean Seafood，臺灣 北投臺北 No. 217, Sec. 2, Zhongyang N. Rd., Beitou Dist，評分 4.0 ，菜系 海鮮，","Fu   Yean   Seafood ， 臺 灣   北投 臺 北   No .   217 ,   Sec .   2 ,   Zhongyang   N .   Rd . ,   Beitou   Dist ， 評分   4.0   ， 菜系   海鮮 ，"
795,Gao Ji Eating House,"Gao Ji Eating House，臺灣 士林臺北 No. 100, Shidong Rd., Shilin Dist ShiDong Tranditional Market，評分 3.5 ，菜系 亞洲料理, 台灣小吃/台菜，","Gao   Ji   Eating   House ， 臺 灣   士林 臺 北   No .   100 ,   Shidong   Rd . ,   Shilin   Dist   ShiDong   Tranditional   Market ， 評分   3.5   ， 菜系   亞洲 料理 ,   台灣 小吃 / 台菜 ，"
796,Bei Ji Guang Creative Food,"Bei Ji Guang Creative Food，臺灣 士林臺北 No. 208, Zhongzheng Rd., Shilin Dist，評分 5.0 ，，","Bei   Ji   Guang   Creative   Food ， 臺 灣   士林 臺 北   No .   208 ,   Zhongzheng   Rd . ,   Shilin   Dist ， 評分   5.0   ， ，"
797,托斯卡尼尼快炒義大利麵 - 淡水北新店,"托斯卡尼尼快炒義大利麵 - 淡水北新店，251 臺灣 淡水新北 北新路117號，評分 4.0 ，價位 NT$100 - NT$188 菜系 義式料理 餐點 午餐, 晚餐，","托斯卡 尼尼快 炒義 大利 麵   -   淡水 北 新店 ， 251   臺 灣   淡水 新北   北 新路 117 號 ， 評分   4.0   ， 價位   NT $ 100   -   NT $ 188   菜系   義式 料理   餐點   午餐 ,   晚餐 ，"
798,金鍋杯小火鍋（內湖店）,"金鍋杯小火鍋（內湖店），114 臺灣 內湖臺北 環山路二段37號，評分 4.0 ，菜系 海鮮, 湯品 餐點 午餐, 晚餐 特色 預訂，","金鍋杯 小火 鍋 （ 內 湖店 ） ， 114   臺 灣   內湖 臺 北   環 山路 二段 37 號 ， 評分   4.0   ， 菜系   海鮮 ,   湯品   餐點   午餐 ,   晚餐   特色   預訂 ，"
799,非常泰-天母SOGO店,"非常泰-天母SOGO店，111 臺灣 士林臺北 中山北路六段77號 8樓，評分 4.0 ，價位 NT$600 - NT$700 菜系 泰式料理 餐點 午餐, 晚餐，","非常 泰 - 天母 SOGO 店 ， 111   臺 灣   士林 臺 北   中山北路 六段 77 號   8 樓 ， 評分   4.0   ， 價位   NT $ 600   -   NT $ 700   菜系   泰式 料理   餐點   午餐 ,   晚餐 ，"
800,本場香川宮武讃岐烏龍麵 - 大直美麗華店,本場香川宮武讃岐烏龍麵 - 大直美麗華店，10491 臺灣 中山區臺北 中山區敬業三路20號B1館，評分 3.5 ，菜系 日式料理，,本場 香川 宮 武 讃 岐 烏 龍 麵   -   大直 美麗華店 ， 10491   臺 灣   中山 區 臺 北   中山 區敬業 三路 20 號 B1 館 ， 評分   3.5   ， 菜系   日式 料理 ，
801,Sheziyang Xiaochi,"Sheziyang Xiaochi，臺灣 士林臺北 No.38, Shezheng Rd., Shilin Dist.,，評分 4.5 ，菜系 中式料理，","Sheziyang   Xiaochi ， 臺 灣   士林 臺 北   No.38 ,   Shezheng   Rd . ,   Shilin   Dist . , ， 評分   4.5   ， 菜系   中式 料理 ，"
802,Formosa Chang Minced Pork Rice,"Formosa Chang Minced Pork Rice，臺灣 士林臺北 No. 54, Fuguo Rd., Shilin Dist，評分 4.0 ，菜系 亞洲料理, 台灣小吃/台菜，","Formosa   Chang   Minced   Pork   Rice ， 臺 灣   士林 臺 北   No .   54 ,   Fuguo   Rd . ,   Shilin   Dist ， 評分   4.0   ， 菜系   亞洲 料理 ,   台灣 小吃 / 台菜 ，"
803,瓦城泰國料理(臺北阪急店),"瓦城泰國料理(臺北阪急店)，110 臺灣 信義區臺北 信義區忠孝東路五段8號7樓 7F，評分 4.0 ，菜系 泰式料理 餐點 午餐, 晚餐 特色 外帶, 預訂，","瓦城泰國 料理 ( 臺 北阪 急店 ) ， 110   臺 灣   信義區 臺 北   信義區 忠孝 東路 五段 8 號 7 樓   7F ， 評分   4.0   ， 菜系   泰式 料理   餐點   午餐 ,   晚餐   特色   外帶 ,   預訂 ，"
804,好食多,好食多，104 臺灣 中山區臺北 中山區民族東路410巷23弄6號1樓，評分 4.5 ，，,好食 多 ， 104   臺 灣   中山 區 臺 北   中山 區 民族 東路 410 巷 23 弄 6 號 1 樓 ， 評分   4.5   ， ，
805,塩酥雞創始總店,"塩酥雞創始總店，10491 臺灣 中山區臺北 北安路530號，評分 4.0 ，菜系 亞洲料理, 台灣小吃/台菜 特色 外帶，","塩 酥 雞 創始 總店 ， 10491   臺 灣   中山 區 臺 北   北安路 530 號 ， 評分   4.0   ， 菜系   亞洲 料理 ,   台灣 小吃 / 台菜   特色   外帶 ，"
806,兄弟麵館,兄弟麵館，104 臺灣 中山區臺北 大直街46巷29號，評分 4.0 ，，,兄弟 麵 館 ， 104   臺 灣   中山 區 臺 北   大直 街 46 巷 29 號 ， 評分   4.0   ， ，
807,阿桐阿寶四神湯,"阿桐阿寶四神湯，臺灣 大同臺北 大同區民生西路151號，評分 4.0 ，菜系 亞洲料理, 台灣小吃/台菜, 湯品 餐點 晚餐 特色 外帶，","阿桐 阿寶四神湯 ， 臺 灣   大同 臺 北   大同 區 民生西路 151 號 ， 評分   4.0   ， 菜系   亞洲 料理 ,   台灣 小吃 / 台菜 ,   湯品   餐點   晚餐   特色   外帶 ，"
808,Er Zi Shan Eatery,"Er Zi Shan Eatery，臺灣 淡水新北 No. 147-2, Sec. 3, Beixin Rd., Xindian Dist，評分 3.5 ，菜系 日式料理，","Er   Zi   Shan   Eatery ， 臺 灣   淡水 新北   No .   147 - 2 ,   Sec .   3 ,   Beixin   Rd . ,   Xindian   Dist ， 評分   3.5   ， 菜系   日式 料理 ，"
809,Ed's Diner,"Ed's Diner，10462 臺灣 中山區臺北 No. 216, Lequn 2nd road Zhongshan District, Taipei City，評分 4.5 ，價位 NT$150 - NT$900 菜系 美式料理, 異國風味, 燒烤 餐點 午餐, 晚餐，","Ed ' s   Diner ， 10462   臺 灣   中山 區 臺 北   No .   216 ,   Lequn   2nd   road   Zhongshan   District ,   Taipei   City ， 評分   4.5   ， 價位   NT $ 150   -   NT $ 900   菜系   美式 料理 ,   異國 風味 ,   燒烤   餐點   午餐 ,   晚餐 ，"
810,窩 創作和食,"窩 創作和食，臺灣 士林臺北 臺北市士林區天母東路88號，評分 4.5 ，菜系 日式料理, 海鮮, 壽司 特色 預訂，","窩   創作 和 食 ， 臺 灣   士林 臺 北   臺 北市 士林 區 天母 東路 88 號 ， 評分   4.5   ， 菜系   日式 料理 ,   海鮮 ,   壽司   特色   預訂 ，"
811,Man Ting Fang Restaurant,"Man Ting Fang Restaurant，臺灣 北投臺北 No. 18, Shamao Rd., Beitou Dist，評分 4.5 ，菜系 亞洲料理, 台灣小吃/台菜，","Man   Ting   Fang   Restaurant ， 臺 灣   北投 臺 北   No .   18 ,   Shamao   Rd . ,   Beitou   Dist ， 評分   4.5   ， 菜系   亞洲 料理 ,   台灣 小吃 / 台菜 ，"
812,Sailfish Xin Zhu Rice Noodle,"Sailfish Xin Zhu Rice Noodle，臺灣 大同臺北 No. 83, Sec. 3, Yanping N. Rd., Datong Dist，評分 4.0 ，菜系 海鮮, 亞洲料理, 台灣小吃/台菜，","Sailfish   Xin   Zhu   Rice   Noodle ， 臺 灣   大同 臺 北   No .   83 ,   Sec .   3 ,   Yanping   N .   Rd . ,   Datong   Dist ， 評分   4.0   ， 菜系   海鮮 ,   亞洲 料理 ,   台灣 小吃 / 台菜 ，"
813,Little Mongolian Tianmu,"Little Mongolian Tianmu，112 臺灣 北投臺北 No. 128-1, Tianmu W. Rd., Beitou Dist，評分 4.0 ，菜系 中式料理 餐點 晚餐 特色 預訂，","Little   Mongolian   Tianmu ， 112   臺 灣   北投 臺 北   No .   128 - 1 ,   Tianmu   W .   Rd . ,   Beitou   Dist ， 評分   4.0   ， 菜系   中式 料理   餐點   晚餐   特色   預訂 ，"
814,樂索門天母臺北,樂索門天母臺北，臺灣 士林臺北 士林區天母西路3-81號1樓，評分 4.5 ，菜系 紅酒吧，,樂索門 天母 臺 北 ， 臺 灣   士林 臺 北   士林 區 天母 西路 3 - 81 號 1 樓 ， 評分   4.5   ， 菜系   紅 酒吧 ，
815,Touched Qianceng Dangao Zhuanmai,"Touched Qianceng Dangao Zhuanmai，臺灣 士林臺北 No.12-1, Ln. 115, Shezi St., Shilin Dist.,，評分 4.5 ，，","Touched   Qianceng   Dangao   Zhuanmai ， 臺 灣   士林 臺 北   No.12 - 1 ,   Ln .   115 ,   Shezi   St . ,   Shilin   Dist . , ， 評分   4.5   ， ，"
816,仁和齋食尚喜宴會場,"仁和齋食尚喜宴會場，臺灣 中山區臺北 中山區樂群三路218號4樓，評分 3.0 ，特別飲食限制 提供素食選擇, 提供純素選擇 餐點 午餐, 晚餐，","仁和 齋 食尚 喜宴 會場 ， 臺 灣   中山 區 臺 北   中山 區樂群 三路 218 號 4 樓 ， 評分   3.0   ， 特別 飲食 限制   提供 素食 選擇 ,   提供 純素 選擇   餐點   午餐 ,   晚餐 ，"
817,Nu Niang,"Nu Niang，臺灣 士林臺北 No. 97, Tianmu E. Rd., Shilin Dist，評分 4.5 ，菜系 多國料理，","Nu   Niang ， 臺 灣   士林 臺 北   No .   97 ,   Tianmu   E .   Rd . ,   Shilin   Dist ， 評分   4.5   ， 菜系   多國 料理 ，"
818,麥當勞(士林店),"麥當勞(士林店)，111 臺灣 士林臺北 No. 602, Sec. 5, Zhongshan N. Rd., Shilin Dist，評分 4.0 ，菜系 美式料理 餐點 早餐, 午餐, 晚餐, 早午餐，","麥當勞 ( 士林 店 ) ， 111   臺 灣   士林 臺 北   No .   602 ,   Sec .   5 ,   Zhongshan   N .   Rd . ,   Shilin   Dist ， 評分   4.0   ， 菜系   美式 料理   餐點   早餐 ,   午餐 ,   晚餐 ,   早 午餐 ，"
819,Kidsorrow,"Kidsorrow，166 臺灣 士林臺北 士林區忠誠路二段166巷12號，評分 4.5 ，菜系 酒吧, 酒吧/夜店，","Kidsorrow ， 166   臺 灣   士林 臺 北   士林 區忠誠路 二段 166 巷 12 號 ， 評分   4.5   ， 菜系   酒吧 ,   酒吧 / 夜店 ，"
820,Cocoro Cafe,"Cocoro Cafe，臺灣 士林臺北 No. 7, Ln. 166, Sec. 2, Zhongcheng Rd., Shilin Dist，評分 4.5 ，菜系 日式料理 餐點 午餐, 晚餐，","Cocoro   Cafe ， 臺 灣   士林 臺 北   No .   7 ,   Ln .   166 ,   Sec .   2 ,   Zhongcheng   Rd . ,   Shilin   Dist ， 評分   4.5   ， 菜系   日式 料理   餐點   午餐 ,   晚餐 ，"
821,法樂琪法國餐廳 忠誠店,法樂琪法國餐廳 忠誠店，臺灣 士林臺北 士林區忠誠路二段180號，評分 3.5 ，菜系 法式料理 餐點 晚餐，,法樂琪 法國 餐廳   忠誠店 ， 臺 灣   士林 臺 北   士林 區忠誠路 二段 180 號 ， 評分   3.5   ， 菜系   法式 料理   餐點   晚餐 ，
822,老四川巴蜀麻辣燙,"老四川巴蜀麻辣燙，臺灣 中山區臺北 中山區南京東路二段45號 Zhongshan Dist，評分 4.5 ，菜系 中式料理, 亞洲料理, 台灣小吃/台菜 特色 外帶, 預訂, 可以使用禮卡，","老 四川 巴蜀 麻辣 燙 ， 臺 灣   中山 區 臺 北   中山 區 南京 東路 二段 45 號   Zhongshan   Dist ， 評分   4.5   ， 菜系   中式 料理 ,   亞洲 料理 ,   台灣 小吃 / 台菜   特色   外帶 ,   預訂 ,   可以 使用 禮卡 ，"
823,廚子市場,"廚子市場，11445 臺灣 內湖臺北 內湖區基湖路3巷11號，評分 4.0 ，價位 NT$350 - NT$800 菜系 地中海料理, 歐式料理, 健康料理, 異國風味 餐點 晚餐, 早午餐, 飲料, 午餐，","廚子 市場 ， 11445   臺 灣   內湖 臺 北   內 湖區 基湖路 3 巷 11 號 ， 評分   4.0   ， 價位   NT $ 350   -   NT $ 800   菜系   地中海 料理 ,   歐式 料理 ,   健康 料理 ,   異國 風味   餐點   晚餐 ,   早 午餐 ,   飲料 ,   午餐 ，"
824,蔦燒日式居酒屋,"蔦燒日式居酒屋，112 臺灣 北投臺北 溫泉路30巷24號 北投區，評分 5.0 ，價位 NT$300 - NT$1,000 特色 預訂，","蔦 燒 日式 居酒 屋 ， 112   臺 灣   北投 臺 北   溫泉路 30 巷 24 號   北投 區 ， 評分   5.0   ， 價位   NT $ 300   -   NT $ 1 , 000   特色   預訂 ，"
825,黑邦廚房,"黑邦廚房，241 臺灣 新北 三重區永安北路2段25巷10號，評分 4.5 ，餐點 午餐, 晚餐，","黑邦 廚房 ， 241   臺 灣   新北   三重 區 永安 北路 2 段 25 巷 10 號 ， 評分   4.5   ， 餐點   午餐 ,   晚餐 ，"
826,泰泰小館,"泰泰小館，111 臺灣 士林臺北 福華路153巷1號 1F，評分 5.0 ，餐點 午餐, 晚餐，","泰泰小館 ， 111   臺 灣   士林 臺 北   福華路 153 巷 1 號   1F ， 評分   5.0   ， 餐點   午餐 ,   晚餐 ，"
827,52 Tapas House,"52 Tapas House，112 臺灣 北投臺北 No. 52, Ln. 260, Zhixing Rd., Beitou Dist，評分 4.5 ，菜系 西班牙料理 餐點 午餐, 晚餐，","52   Tapas   House ， 112   臺 灣   北投 臺 北   No .   52 ,   Ln .   260 ,   Zhixing   Rd . ,   Beitou   Dist ， 評分   4.5   ， 菜系   西班牙 料理   餐點   午餐 ,   晚餐 ，"
828,Da Cun Wu Chuan Shao Ju Jiu Wu - Shilin,"Da Cun Wu Chuan Shao Ju Jiu Wu - Shilin，111 臺灣 士林臺北 No. 255, Jihe Road，評分 5.0 ，，","Da   Cun   Wu   Chuan   Shao   Ju   Jiu   Wu   -   Shilin ， 111   臺 灣   士林 臺 北   No .   255 ,   Jihe   Road ， 評分   5.0   ， ，"
829,BFLO Restaurant & Cafe,"BFLO Restaurant & Cafe，104 臺灣 中山區臺北 No. 9, Aly. 1, Ln. 538, Bei an Rd., Zhongshan Dist，評分 4.5 ，菜系 美式料理 餐點 飲料, 午餐, 晚餐 特色 外帶, 預訂, 戶外用餐, 座位, 電視, 有兒童椅, 殘障通行設施, 供應酒精飲品, 水果酒和啤酒, 接受使用 Mastercard, 接受使用 Visa, 免費無線網路, 接受使用信用卡, 可以使用禮卡，","BFLO   Restaurant   &   Cafe ， 104   臺 灣   中山 區 臺 北   No .   9 ,   Aly .   1 ,   Ln .   538 ,   Bei   an   Rd . ,   Zhongshan   Dist ， 評分   4.5   ， 菜系   美式 料理   餐點   飲料 ,   午餐 ,   晚餐   特色   外帶 ,   預訂 ,   戶外 用餐 ,   座位 ,   電視 ,   有兒 童椅 ,   殘障 通行 設施 ,   供應 酒精 飲品 ,   水果 酒 和 啤酒 ,   接受 使用   Mastercard ,   接受 使用   Visa ,   免費 無線 網路 ,   接受 使用 信用卡 ,   可以 使用 禮卡 ，"
830,金色三麥 - 臺北美麗華店,"金色三麥 - 臺北美麗華店，104 臺灣 中山區臺北 中山區敬業三路20號 美麗華百樂園5F，評分 4.0 ，價位 NT$11,069 - NT$19,370 菜系 美式料理, 德國料理, 現釀啤酒吧, 歐式料理, 多國料理, 啤酒餐廳 餐點 晚餐, 午餐, 宵夜, 飲料，","金色 三麥   -   臺 北美 麗華店 ， 104   臺 灣   中山 區 臺 北   中山 區敬業 三路 20 號   美麗華百樂園 5F ， 評分   4.0   ， 價位   NT $ 11 , 069   -   NT $ 19 , 370   菜系   美式 料理 ,   德國 料理 ,   現釀 啤酒 吧 ,   歐式 料理 ,   多國 料理 ,   啤酒 餐廳   餐點   晚餐 ,   午餐 ,   宵夜 ,   飲料 ，"
831,Xi Garden,"Xi Garden，104 臺灣 中山區臺北 No. 168, Jingye 4th Rd., Zhongshan Dist Grand Victoria Hotel，評分 4.0 ，菜系 中式料理 餐點 晚餐 特色 預訂，","Xi   Garden ， 104   臺 灣   中山 區 臺 北   No .   168 ,   Jingye   4th   Rd . ,   Zhongshan   Dist   Grand   Victoria   Hotel ， 評分   4.0   ， 菜系   中式 料理   餐點   晚餐   特色   預訂 ，"
832,Boulangerie Jimmy,"Boulangerie Jimmy，臺灣 士林臺北 臺北市中山北路六段454號，評分 4.5 ，菜系 法式料理 餐點 早餐, 午餐, 晚餐 特色 外帶，","Boulangerie   Jimmy ， 臺 灣   士林 臺 北   臺 北市 中山北路 六段 454 號 ， 評分   4.5   ， 菜系   法式 料理   餐點   早餐 ,   午餐 ,   晚餐   特色   外帶 ，"
833,Cheese Pork Shop,"Cheese Pork Shop，臺灣 淡水新北 No. 3, Gongming St., Tamsui Dist，評分 4.0 ，菜系 日式料理，","Cheese   Pork   Shop ， 臺 灣   淡水 新北   No .   3 ,   Gongming   St . ,   Tamsui   Dist ， 評分   4.0   ， 菜系   日式 料理 ，"
834,Prime One牛排館,"Prime One牛排館，10065 臺灣 中正區臺北 中正區中華路二段1號臺北花園大酒店，評分 4.5 ，菜系 牛排 特別飲食限制 提供純素選擇 餐點 晚餐, 午餐, 早午餐，","Prime   One 牛排 館 ， 10065   臺 灣   中正 區 臺 北   中正 區中華路 二段 1 號 臺 北花園 大酒店 ， 評分   4.5   ， 菜系   牛排   特別 飲食 限制   提供 純素 選擇   餐點   晚餐 ,   午餐 ,   早 午餐 ，"
835,Huang Jia Beef Noodles,"Huang Jia Beef Noodles，臺灣 士林臺北 No. 103, Dexing E. Rd., Shilin Dist，評分 4.0 ，菜系 亞洲料理，","Huang   Jia   Beef   Noodles ， 臺 灣   士林 臺 北   No .   103 ,   Dexing   E .   Rd . ,   Shilin   Dist ， 評分   4.0   ， 菜系   亞洲 料理 ，"
836,Liu Ku Spring Restaurant,"Liu Ku Spring Restaurant，臺灣 北投臺北 No. 81, Hudi Rd., Beitou Dist，評分 4.0 ，菜系 亞洲料理, 台灣小吃/台菜，","Liu   Ku   Spring   Restaurant ， 臺 灣   北投 臺 北   No .   81 ,   Hudi   Rd . ,   Beitou   Dist ， 評分   4.0   ， 菜系   亞洲 料理 ,   台灣 小吃 / 台菜 ，"
837,一條通 - 石牌門市,"一條通 - 石牌門市，112 臺灣 北投臺北 石牌路二段31號，評分 4.5 ，菜系 日式料理, 亞洲料理，","一條通   -   石牌 門市 ， 112   臺 灣   北投 臺 北   石牌路 二段 31 號 ， 評分   4.5   ， 菜系   日式 料理 ,   亞洲 料理 ，"
838,Samwon Garden Korean Bbq House,"Samwon Garden Korean Bbq House，臺灣 內湖臺北 No. 45, Ln. 188, Ruiguang Rd., Neihu Dist，評分 4.0 ，菜系 亞洲料理, 韓式料理, 燒烤 特色 預訂，","Samwon   Garden   Korean   Bbq   House ， 臺 灣   內湖 臺 北   No .   45 ,   Ln .   188 ,   Ruiguang   Rd . ,   Neihu   Dist ， 評分   4.0   ， 菜系   亞洲 料理 ,   韓式 料理 ,   燒烤   特色   預訂 ，"
